image_path,true_label,predicted_label
./data/spectograms_30s/classical/classical.00017_30s.png,classical,blues
./data/spectograms_30s/country/country.00008_30s.png,country,disco
./data/spectograms_30s/jazz/jazz.00006_30s.png,jazz,classical
./data/spectograms_30s/metal/metal.00018_30s.png,metal,disco
./data/spectograms_30s/classical/classical.00011_30s.png,classical,blues
./data/spectograms_30s/rock/rock.00011_30s.png,rock,disco
./data/spectograms_30s/reggae/reggae.00012_30s.png,reggae,disco
./data/spectograms_30s/pop/pop.00002_30s.png,pop,disco
./data/spectograms_30s/hiphop/hiphop.00003_30s.png,hiphop,disco
./data/spectograms_30s/metal/metal.00006_30s.png,metal,disco
./data/spectograms_30s/reggae/reggae.00010_30s.png,reggae,classical
./data/spectograms_30s/hiphop/hiphop.00013_30s.png,hiphop,jazz
./data/spectograms_30s/pop/pop.00013_30s.png,pop,classical
./data/spectograms_30s/rock/rock.00010_30s.png,rock,disco
./data/spectograms_30s/hiphop/hiphop.00015_30s.png,hiphop,disco
./data/spectograms_30s/rock/rock.00019_30s.png,rock,disco
./data/spectograms_30s/rock/rock.00006_30s.png,rock,disco
./data/spectograms_30s/country/country.00006_30s.png,country,disco
./data/spectograms_30s/country/country.00003_30s.png,country,disco
./data/spectograms_30s/blues/blues.00007_30s.png,blues,reggae
./data/spectograms_30s/hiphop/hiphop.00014_30s.png,hiphop,disco
./data/spectograms_30s/metal/metal.00019_30s.png,metal,disco
./data/spectograms_30s/reggae/reggae.00014_30s.png,reggae,blues
./data/spectograms_30s/country/country.00017_30s.png,country,disco
./data/spectograms_30s/metal/metal.00008_30s.png,metal,disco
./data/spectograms_30s/blues/blues.00010_30s.png,blues,classical
./data/spectograms_30s/jazz/jazz.00012_30s.png,jazz,disco
./data/spectograms_30s/jazz/jazz.00000_30s.png,jazz,blues
./data/spectograms_30s/pop/pop.00004_30s.png,pop,disco
./data/spectograms_30s/jazz/jazz.00014_30s.png,jazz,blues
./data/spectograms_30s/pop/pop.00014_30s.png,pop,disco
